,Stella Artois 16oz,,Alcohol - Beer - Draft,,,5.5,,,,,N,N
,Kids Grilled Cheese,,Kid's Menu,,,5,,,,,N,Y
,Kids Cheeseburger,,Kid's Menu,,,6,,,,,N,Y
,Kids Corn Dog,,Kid's Menu,,,4,,,,,N,Y
,Kids Chicken Strips,,Kid's Menu,,,5,,,,,N,Y
,PB & J,,Kid's Menu,,,4,,,,,N,Y
,Side of Salmon,,Salad/Potato,,,6,,,,,N,Y
,Side of Crab,,Salad/Potato,,,4.5,,,,,N,Y
,Lesser Tater,,Salad/Potato,,,10,,,,,N,Y
,Great Tater,,Salad/Potato,,,12,,,,,N,Y
,Veggie Tater,,Salad/Potato,,,8,,,,,N,Y
,Side of Steak Bites,,Salad/Potato,,,6,,,,,N,Y
,Chef Salad,,Salad/Potato,,,9,,,,,N,Y
,Side Grilled Chicken,,Salad/Potato,,,5,,,,,N,Y
,Woodchopper Salad,,Salad/Potato,,,6,,,,,N,Y
,Chicken Tenders,,Lunch,,,8.5,,,,,N,Y
,Fish Tacos,,Lunch,,,9,,,,,N,Y
,Wings (5) Lunch,,Lunch,,,6,,,,,N,Y
,Side of Crab,,Lunch,,,3.5,,,,,N,Y
,Tater-Lesser,,Lunch,,,10,,,,,N,Y
,Tater-Greater,,Lunch,,,12,,,,,N,Y
,Charleston Crab Wrap,,Lunch,,,10,,,,,N,Y
,Crab Cake Sand/Wrap,,Lunch,,,9,,,,,N,Y
,Chicken Buffalo,,Lunch,,,9,,,,,N,Y
,Club Sandwich,,Lunch,,,10.5,,,,,N,Y
,Tater-Veggie,,Lunch,,,8,,,,,N,Y
,Adult Grilled Chz,,Lunch,,,8.5,,,,,N,Y
,Side of Chicken,,Lunch,,,4,,,,,N,Y
,Side of Steak Bites,,Lunch,,,5,,,,,N,Y
,Blck Chicken Bacon,,Lunch,,,10,,,,,N,Y
,Salad Bar-Large,,Lunch,,,7,,,,,N,Y
,Salad Bar-Small,,Lunch,,,5,,,,,N,Y
,Burger-NO CHEESE,,Lunch,,,8,,,,,N,Y
